"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-12","97.5","-1.6713","5.7799","Josh James",621514,657624,"null","foul",,,,,"6","null","R","L","R","DET","HOU","S","null","null",0,0,2018,"-1.0848","1.3763","0.4641","2.1636","null","null","622682.00",1,7,"Bot","null","null",,,455117,,"180912_193515","8.0685","-141.5488","-7.1861","-16.1112","32.2201","-12.6739","3.3710","1.5350","null","null","null","96.3140","2264","5.7320",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.7669","null","null","null","null","null","null","null",61,"1","4-Seam Fastball",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"FF","2018-09-12","96.7","-1.9410","5.5931","Josh James",600869,657624,"field_out","hit_into_play",,,,,"6","Jeimer Candelario flies out to right fielder George Springer.  ","R","L","R","DET","HOU","X",9,"fly_ball",0,1,2018,"-0.9195","0.9834","0.5419","2.6633","null","null","622682.00",0,7,"Bot","167.94","108.84",,,455117,,"180912_193424","8.6365","-140.5696","-4.4520","-13.9732","30.6583","-18.4949","3.4110","1.5650","237","93.8","54.4400","96.3110","2225","6.0370",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.4616","0.006","0.007","0.00",1,0,0,3,60,"2","4-Seam Fastball",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"CH","2018-09-12","87.7","-2.0426","5.3473","Josh James",600869,657624,"null","called_strike",,,,,"7","null","R","L","R","DET","HOU","S","null","null",0,0,2018,"-1.1748","0.1873","-0.7353","2.2425","null","null","622682.00",0,7,"Bot","null","null",,,455117,,"180912_193354","5.4523","-127.6393","-1.8020","-13.6279","23.6882","-30.0552","3.5312","1.6643","null","null","null","87.0340","1674","5.6370",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.8617","null","null","null","null","null","null","null",60,"1","Changeup",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"FF","2018-09-12","95.4","-2.0709","5.4544","Josh James",622682,657624,"walk","ball",,,,,"13","Victor Reyes walks.  ","R","L","R","DET","HOU","B","null","null",3,1,2018,"-1.2897","0.8755","-0.3898","1.1464","null","null","null",0,7,"Bot","null","null",,,455117,,"180912_193314","7.1961","-138.5432","-7.5498","-17.9344","30.2163","-19.6520","3.6539","1.7618","null","null","null","94.5960","2147","5.8780",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.6211","null","null","0.70",1,0,0,"null",59,"5","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-09-12","96.6","-1.9899","5.5295","Josh James",622682,657624,"null","ball",,,,,"4","null","R","L","R","DET","HOU","B","null","null",2,1,2018,"-1.1868","1.0049","-0.7760","2.5686","null","null","null",0,7,"Bot","null","null",,,455117,,"180912_193255","5.8938","-140.5278","-4.5598","-16.9456","32.8104","-18.1586","3.6539","1.8106","null","null","null","96.1870","2120","6.1350",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.3633","null","null","null","null","null","null","null",59,"4","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-09-12","96.3","-1.8355","5.5015","Josh James",622682,657624,"null","called_strike",,,,,"5","null","R","L","R","DET","HOU","S","null","null",2,0,2018,"-1.2591","0.9423","0.0165","2.5884","null","null","null",0,7,"Bot","null","null",,,455117,,"180912_193239","7.6870","-139.8785","-4.1825","-18.1083","33.7911","-19.2497","3.4576","1.5424","null","null","null","95.3860","2229","6.0210",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.4781","null","null","null","null","null","null","null",59,"3","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-09-12","95.5","-1.8955","5.5694","Josh James",622682,657624,"null","ball",,,,,"14","null","R","L","R","DET","HOU","B","null","null",1,0,2018,"-1.4188","1.1979","1.9766","1.0281","null","null","null",0,7,"Bot","null","null",,,455117,,"180912_193203","13.2398","-138.1675","-8.8320","-21.0529","32.3182","-15.1851","3.6048","1.8106","null","null","null","94.4670","2202","6.1190",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.3797","null","null","null","null","null","null","null",59,"2","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-09-12","96.6","-1.5902","5.8953","Josh James",622682,657624,"null","ball",,,,,"12","null","R","L","R","DET","HOU","B","null","null",0,0,2018,"-1.2136","1.0332","2.0659","2.6780","null","null","null",0,7,"Bot","null","null",,,455117,,"180912_193140","12.3288","-140.0875","-5.2505","-18.4804","30.5678","-17.8126","3.4821","1.6729","null","null","null","95.7990","2198","5.9410",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.5581","null","null","null","null","null","null","null",59,"1","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-09-12","99.6","-1.7157","5.7989","Josh James",608475,657624,"strikeout","called_strike",,,,,"9","Dawel Lugo called out on strikes.  ","R","R","R","DET","HOU","S",2,"null",2,2,2018,"-1.0355","1.3758","0.5300","2.1314","null","null","null",2,6,"Bot","null","null",,,455117,,"180912_192326","8.4578","-144.5675","-7.7434","-16.2293","33.2401","-11.6512","3.4086","1.5668","null","null","null","98.6280","2532","5.8540",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.6443","null","null","0.00",1,0,0,"null",55,"5","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"CH","2018-09-12","90.6","-1.9234","5.3537","Josh James",608475,657624,"null","ball",,,,,"14","null","R","R","R","DET","HOU","B","null","null",1,2,2018,"-1.3486","0.3463","2.2493","0.3711","null","null","null",2,6,"Bot","null","null",,,455117,,"180912_192257","13.1936","-131.2122","-7.1747","-18.1990","26.3399","-26.9518","3.3841","1.5424","null","null","null","90.2070","2137","6.1960",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.3030","null","null","null","null","null","null","null",55,"4","Changeup",2,5,2,5,5,2,2,5,"Standard","Standard"
"CH","2018-09-12","89.0","-1.6726","5.3827","Josh James",608475,657624,"null","ball",,,,,"14","null","R","R","R","DET","HOU","B","null","null",0,2,2018,"-1.2394","-0.0174","2.3859","-0.7466","null","null","null",2,6,"Bot","null","null",,,455117,,"180912_192226","12.3835","-128.7108","-8.7951","-16.1832","26.6228","-30.7766","3.3628","1.5668","null","null","null","88.0430","1692","6.0240",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.4745","null","null","null","null","null","null","null",55,"3","Changeup",2,5,2,5,5,2,2,5,"Standard","Standard"
