"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-13","89.0","-2.4398","5.3004","Mike Leake",545361,502190,"null","foul",,,,,"6","null","R","R","R","LAA","SEA","S","null","null",0,1,2018,"-0.6934","0.4818","0.6758","2.8135","null","null","null",2,6,"Bot","null","null",,,572287,,"180914_042008","8.8252","-129.1188","-1.0083","-9.2405","25.8244","-27.0406","3.5438","1.6750","null","null","null","87.1590","2308","5.2040",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.2960","null","null","null","null","null","null","null",53,"2","4-Seam Fastball",0,6,0,6,6,0,0,6,"Standard","Standard"
"FC","2018-09-13","86.5","-2.6387","5.2073","Mike Leake",545361,502190,"null","called_strike",,,,,"5","null","R","R","R","LAA","SEA","S","null","null",0,0,2018,"0.0558","0.6686","0.1989","2.7874","null","null","null",2,6,"Bot","null","null",,,572287,,"180914_041952","6.5065","-125.7499","-0.9262","-0.5526","21.7624","-25.3826","3.5182","1.7267","null","null","null","85.1150","2319","5.1190",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.3807","null","null","null","null","null","null","null",53,"1","Cutter",0,6,0,6,6,0,0,6,"Standard","Standard"
"FC","2018-09-13","87.3","-2.7932","5.3927","Mike Leake",664058,502190,"field_out","hit_into_play",,,,,"3","David Fletcher grounds out, shortstop Dee Gordon to first baseman Ryon Healy.  ","R","R","R","LAA","SEA","X",6,"ground_ball",2,2,2018,"0.0623","0.3518","0.7101","2.7136","null","null","null",1,6,"Bot","120.80","155.13",,,572287,,"180914_041919","8.1137","-126.7212","-0.9690","-0.9482","24.8968","-28.6006","3.2357","1.5457","3","73.9","-46.7940","85.4770","2318","5.1640",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.3361","0.131","0.135","0.00",1,0,0,2,52,"6","Cutter",0,6,0,6,6,0,0,6,"Standard","Strategic"
"CH","2018-09-13","85.0","-2.5521","5.1905","Mike Leake",664058,502190,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",1,2,2018,"-1.2455","-0.3508","0.8436","0.5058","null","null","null",1,6,"Bot","null","null",,,572287,,"180914_041856","10.1991","-123.2600","-3.9127","-14.3100","22.9116","-35.1812","3.3385","1.5974","null","null","null","83.8330","1885","5.5690",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"54.9307","null","null","null","null","null","null","null",52,"5","Changeup",0,6,0,6,6,0,0,6,"Standard","Strategic"
"SI","2018-09-13","88.6","-2.5559","5.2618","Mike Leake",664058,502190,"null","foul",,,,,"6","null","R","R","R","LAA","SEA","S","null","null",1,2,2018,"-0.8024","0.5215","0.4861","2.5200","null","null","null",1,6,"Bot","null","null",,,572287,,"180914_041839","8.8578","-128.5574","-1.6530","-10.3705","25.2934","-26.4937","3.2614","1.5716","null","null","null","87.0550","2151","5.3560",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.1436","null","null","null","null","null","null","null",52,"4","Sinker",0,6,0,6,6,0,0,6,"Standard","Strategic"
"SL","2018-09-13","81.3","-2.5812","5.1326","Mike Leake",664058,502190,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",0,2,2018,"0.9366","-0.2996","0.8297","0.3993","null","null","null",1,6,"Bot","null","null",,,572287,,"180914_041819","5.7803","-118.0113","-3.3040","7.1330","24.0240","-34.4641","3.2614","1.5716","null","null","null","79.0130","2543","4.9880",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.5117","null","null","null","null","null","null","null",52,"3","Slider",0,6,0,6,6,0,0,6,"Standard","Strategic"
"FC","2018-09-13","85.6","-2.6794","5.3135","Mike Leake",664058,502190,"null","called_strike",,,,,"9","null","R","R","R","LAA","SEA","S","null","null",0,1,2018,"0.0633","0.5758","0.5629","1.8846","null","null","null",1,6,"Bot","null","null",,,572287,,"180914_041806","7.3262","-124.2934","-2.8841","-0.6986","22.5207","-26.1865","3.3641","1.5974","null","null","null","83.7000","2270","4.9420",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.5574","null","null","null","null","null","null","null",52,"2","Cutter",0,6,0,6,6,0,0,6,"Standard","Strategic"
"SI","2018-09-13","86.6","-2.6474","5.1904","Mike Leake",664058,502190,"null","called_strike",,,,,"4","null","R","R","R","LAA","SEA","S","null","null",0,0,2018,"-0.9787","0.4145","-0.5163","2.7536","null","null","null",1,6,"Bot","null","null",,,572287,,"180914_041751","6.8374","-125.6880","-0.3807","-11.3683","26.1192","-28.1629","3.4155","1.6750","null","null","null","84.6010","2053","5.1880",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.3118","null","null","null","null","null","null","null",52,"1","Sinker",0,6,0,6,6,0,0,6,"Standard","Strategic"
"CH","2018-09-13","82.0","-2.5980","5.2428","Mike Leake",594777,502190,"field_out","hit_into_play",,,,,"5","Kole Calhoun grounds out, second baseman Robinson Cano to first baseman Ryon Healy.  ","R","L","R","LAA","SEA","X",4,"ground_ball",1,1,2018,"-1.0691","-0.0357","-0.1135","2.4221","null","null","null",0,6,"Bot","139.93","165.11",,,572287,,"180914_041727","7.4626","-119.1226","0.1700","-11.1884","20.0366","-32.7657","3.2100","1.4940","96","96.7","5.7320","80.9510","1722","5.3910",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.1087","0.581","0.540","0.00",1,0,0,4,51,"3","Changeup",0,6,0,6,6,0,0,6,"Strategic","Standard"
"SI","2018-09-13","86.4","-2.6271","5.3134","Mike Leake",594777,502190,"null","called_strike",,,,,"11","null","R","L","R","LAA","SEA","S","null","null",1,0,2018,"-1.2963","0.0460","-0.9496","2.6049","null","null","null",0,6,"Bot","null","null",,,572287,,"180914_041707","6.3627","-125.4692","-0.3010","-14.4204","25.5553","-31.9259","3.1586","1.4422","null","null","null","84.4410","2039","5.1370",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.3623","null","null","null","null","null","null","null",51,"2","Sinker",0,6,0,6,6,0,0,6,"Strategic","Standard"
"KC","2018-09-13","77.6","-2.5239","5.4930","Mike Leake",594777,502190,"null","ball",,,,,"13","null","R","L","R","LAA","SEA","B","null","null",0,0,2018,"1.2710","-0.4660","-1.4431","2.3537","null","null","null",0,6,"Bot","null","null",,,572287,,"180914_041652","0.1163","-112.7196","1.0067","10.2239","21.2213","-36.4252","3.2357","1.5457","null","null","null","75.3160","2576","4.7950",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.7048","null","null","null","null","null","null","null",51,"1","Knuckle Curve",0,6,0,6,6,0,0,6,"Strategic","Standard"
"SI","2018-09-13","88.6","-2.5885","5.2251","Mike Leake",516472,502190,"field_out","hit_into_play",,,,,"1","Francisco Arcia grounds out, first baseman Ryon Healy to pitcher Mike Leake.  ","R","L","R","LAA","SEA","X",3,"ground_ball",3,2,2018,"-0.9958","0.6172","-0.5946","2.8439","null","null","592743.00",2,5,"Bot","146.58","171.29",,,572287,,"180914_040654","6.7325","-128.7271","-0.9773","-12.0657","26.1329","-25.6060","3.3641","1.6750","3","77.9","-47.2370","87.0090","2114","5.3170",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.1828","0.134","0.140","0.00",1,0,0,2,47,"10","Sinker",0,6,0,6,6,0,0,6,"Infield shift","Standard"
