"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-14","87.2","1.0349","6.2609","Dallas Keuchel",500871,572971,"field_out","hit_into_play",,,,,"4","Eduardo Escobar flies out to left fielder Marwin Gonzalez.  ","R","R","L","HOU","ARI","X",7,"fly_ball",1,1,2018,"0.0747","0.7889","-0.7108","2.3763","null","null","null",0,5,"Top","86.33","89.49",,,455117,,"180915_013436","-4.3330","-126.9012","-4.7673","1.6889","26.0426","-22.9764","3.3010","1.5040","276","85.7","46.2980","86.9080","2061","6.1080",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3943","0.009","0.012","0.00",1,0,0,3,36,"3","4-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"SL","2018-09-14","76.5","1.0972","6.1792","Dallas Keuchel",500871,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",0,1,2018,"-0.8235","-0.4095","1.4040","1.5053","null","null","null",0,5,"Top","null","null",,,455117,,"180915_013406","2.0909","-111.2897","-2.0391","-7.0992","21.5354","-35.3649","3.3988","1.6069","null","null","null","75.6880","2090","5.8920",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.6101","null","null","null","null","null","null","null",36,"2","Slider",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FT","2018-09-14","87.5","1.0916","6.2469","Dallas Keuchel",500871,572971,"null","called_strike",,,,,"8","null","R","R","L","HOU","ARI","S","null","null",0,0,2018,"0.7572","0.6367","-0.0024","2.1541","null","null","null",0,5,"Top","null","null",,,455117,,"180915_013350","-4.1831","-127.4369","-5.0899","9.0393","23.9754","-24.4819","3.3988","1.6069","null","null","null","87.7110","2023","6.1880",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3143","null","null","null","null","null","null","null",36,"1","2-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FF","2018-09-14","87.6","0.8659","6.1791","Dallas Keuchel",572041,572971,"field_out","hit_into_play",,,,,"1","A.  J.   Pollock lines out to left fielder Marwin Gonzalez.  ","R","R","L","HOU","ARI","X",7,"line_drive",1,0,2018,"-0.2708","0.6754","-0.3380","2.9859","605113.00","null","425772.00",2,4,"Top","75.15","75.46",,,455117,,"180915_011706","-2.3439","-127.4636","-2.9346","-2.4264","26.7406","-24.5137","3.4110","1.5650","315","85.9","27.9310","87.1750","2041","6.0730",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.4295","0.054","0.068","0.00",1,0,0,3,31,"2","4-Seam Fastball",2,2,2,2,2,2,2,2,"Strategic","Strategic"
"CH","2018-09-14","81.2","0.8406","6.1345","Dallas Keuchel",572041,572971,"null","blocked_ball",,,,,"13","null","R","R","L","HOU","ARI","B","null","null",0,0,2018,"1.2754","0.4805","-0.5291","0.0183","605113.00","null","425772.00",2,4,"Top","null","null",,,455117,,"180915_011628","-5.5007","-117.9039","-7.9256","12.9440","23.4557","-26.3576","3.3988","1.6069","null","null","null","80.9560","1543","6.3500",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.1525","null","null","null","null","null","null","null",31,"1","Changeup",2,2,2,2,2,2,2,2,"Infield shift","Strategic"
"FT","2018-09-14","90.2","1.0194","6.1248","Dallas Keuchel",425772,572971,"walk","ball",,,,,"14","Jeff Mathis walks.  ","R","R","L","HOU","ARI","B","null","null",3,2,2018,"1.0209","0.5772","0.0254","0.7615","605113.00","null","null",2,4,"Top","null","null",,,455117,,"180915_011546","-4.6002","-131.0262","-8.5295","12.6371","27.9284","-23.9933","3.3988","1.6069","null","null","null","89.7440","2110","6.1280",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3743","null","null","0.70",1,0,0,"null",30,"6","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2018-09-14","81.6","0.9726","6.0523","Dallas Keuchel",425772,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",2,2,2018,"1.0754","0.5635","0.6671","0.9475","605113.00","null","null",2,4,"Top","null","null",,,455117,,"180915_011526","-2.7458","-118.7033","-5.9344","10.6426","23.9434","-25.9224","3.3988","1.6069","null","null","null","81.3410","1570","6.2550",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.2469","null","null","null","null","null","null","null",30,"5","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","89.7","1.0888","6.1631","Dallas Keuchel",425772,572971,"null","called_strike",,,,,"14","null","R","R","L","HOU","ARI","S","null","null",2,1,2018,"1.1128","0.6831","1.0965","2.1840","605113.00","null","null",2,4,"Top","null","null",,,455117,,"180915_011503","-2.2778","-130.4288","-5.2121","12.9802","28.0237","-23.6287","3.3988","1.6069","null","null","null","88.9600","2065","5.9230",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.5789","null","null","null","null","null","null","null",30,"4","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2018-09-14","81.2","0.8641","6.1463","Dallas Keuchel",425772,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",1,1,2018,"1.1727","0.5516","0.7551","1.0423","605113.00","null","null",2,4,"Top","null","null",,,455117,,"180915_011446","-2.4595","-118.1054","-5.7860","11.3261","23.9619","-26.1491","3.3988","1.6069","null","null","null","80.6830","1540","6.1110",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3914","null","null","null","null","null","null","null",30,"3","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"SL","2018-09-14","79.3","1.2720","5.9538","Dallas Keuchel",425772,572971,"null","blocked_ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",0,1,2018,"-0.5605","-0.5231","0.5977","0.6381","605113.00","null","null",2,4,"Top","null","null",,,455117,,"180915_011423","-0.4503","-115.4014","-3.8381","-4.7820","22.0095","-36.2455","3.3988","1.6069","null","null","null","78.2300","2248","5.5890",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.9131","null","null","null","null","null","null","null",30,"2","Slider",2,2,2,2,2,2,2,2,"Standard","Standard"
